Year,Storage Pallets,Storage Area,Outbound Dock Area,Outbound Slack Area,Inbound Dock Area,Inbound Slack Area,Support Area,Net Area,Case Pick Area,Each Pick Area,Conveyor Area,Gross Area,Facilities Needed,3PL Sq Ft Requied
2025,15288.085348653096,135894.09198802753,8000,0,8000,0,3500,155394.09198802753,44000,24000,6000,286742.0,1,128242
2026,17455.73234503945,155162.06528923957,8000,0,8000,0,3500,174662.06528923957,44000,24000,6000,310827.0,1,152327
2027,21458.912032453823,190745.8847329229,12000,0,12000,0,3500,218245.8847329229,88000,48000,12000,457807.0,2,79200
2028,26601.310811011048,236456.096097876,12000,0,12000,0,3500,263956.09609787597,88000,48000,12000,514945.0,2,136338
2029,31950.199053840726,284001.76936747314,16000,0,16000,0,3500,319501.76936747314,132000,72000,18000,676877.0,3,0
2030,37809.40944963511,336083.6395523121,16000,0,16000,0,3500,371583.6395523121,132000,72000,18000,741979.0,3,44872
2031,45190.625318327926,401694.447274026,20000,0,20000,0,3500,445194.447274026,176000,96000,24000,926493.0,4,0
2032,53203.073190077324,472916.20613402064,24000,0,24000,0,3500,524416.2061340206,176000,96000,24000,1025520.0,4,9913
2033,62066.972890925856,551706.4256971187,28000,0,28000,0,3500,611206.4256971187,220000,120000,30000,1226508.0,5,0
2034,71782.32442136419,638065.1059676817,32000,0,32000,0,3500,705565.1059676817,220000,120000,30000,1344456.0,5,10349
2035,82349.12778114702,731992.2469435291,36000,0,36000,0,3500,807492.2469435291,220000,120000,30000,1471865.0,5,137758
2036,93767.38297027431,833487.8486246606,40000,0,40000,0,3500,916987.8486246606,264000,144000,36000,1701234.0,6,48627
2037,106037.08998899139,942551.9110132568,40000,4000,40000,4000,3500,1034051.9110132568,308000,168000,42000,1940064.0,7,0
2038,119158.24883680764,1059184.434104957,40000,8000,40000,8000,3500,1158684.434104957,308000,168000,42000,2095855.0,7,124748
2039,133130.85951396837,1183385.417901941,40000,16000,40000,16000,3500,1298885.417901941,308000,168000,42000,2271106.0,7,299999
